customer_name,po_number,sku,facility_name,facility_location,po_date,po_expiry_date,hsn,item_code,description,basic_rate,gst,net_landing_rate,mrp,po_qty,available_quantity,unavailable_quantity,Block,"Purchase Order Quantity","Vendor Code"
Manish,1881310084935,BMHM500,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70139900,10235010,"Pasabahce Homemade Glass Jar (Transparent, 500 ml, 2 pcs)(Box)",270.34,18,319,550,30,0,30,,,
Manish,1881310084935,1046272,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70139900,10235014,"Pasabahce Weizen Glass Beer Glass (520 ml, Transparent)(Box)",304.75,18,359.6,620,36,0,36,,,
Saurabh,1881310084935,BMHM1000,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70139900,10235006,"Pasabahce Homemade Glass Jar (Transparent, 1000 ml, 2 pcs)(Pack)",393.22,18,464,800,36,0,36,,,
Saurabh,1881310084935,674117,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70139900,10237122,"Pasabahce Barrel Whiskey Glass Set (340 ml, Transparent)(Box)",506.27,18,597.4,1030,20,0,20,,,
