"Customer Name","PO Number","SKU Code","Facility Name","Facility Location","PO Date","PO Expiry Date",HSN,"Item Code",Description,"Basic Rate",GST,"Net Landing Rate",MRP,"PO Quantity","Available Quantity","Unavailable Quantity"
Blinkit,1881310084935,BMHM500,"Moonstone Ventures LLP - Hyderabad H2","Survey no 712B , 715A 716, Devar Yajmal Village , Shamirpet Mandal Medchal, Telangana 501401",11-07-2025,11-08-2025,70139900,10235010,"Pasabahce Homemade Glass Jar (Transparent, 500 ml, 2 pcs)(Box)",270.34,18,319,550,50,50,0
Blinkit,1881310084935,1046272,"Moonstone Ventures LLP - Pune P2","GAT NO. 106-2, VILLAGE - SATE, TALUKA - MAVAL, DISTRICT - PUNE, Maval, Pune PMC & Rural, Maharashtra-410506",11-07-2025,11-08-2025,70139900,10235014,"Pasabahce Weizen Glass Beer Glass (520 ml, Transparent)(Box)",304.75,18,359.6,620,70,40,30
Blinkit,1881310084935,BMHM1000,"Moonstone Ventures LLP - Moonstone - Lucknow L4","Khasra no 1479 Gulab khera, Kurauni Bijnaur Road ,Near Banthra Thana, Kanpur Road Lucknow -227101",11-07-2025,11-08-2025,70139900,10235006,"Pasabahce Homemade Glass Jar (Transparent, 1000 ml, 2 pcs)(Pack)",393.22,18,464,800,80,40,40
Blinkit,1881310084935,674117,"Moonstone Ventures LLP - Farukhnagar SR","Vill Khalikpur, Tehsil Badli, Jhajjar 124105",11-07-2025,11-08-2025,70139900,10237122,"Pasabahce Barrel Whiskey Glass Set (340 ml, Transparent)(Box)",506.27,18,597.4,1030,40,40,0
